#separator:comma
#deck column:18
32,恵まれる,めぐまれる,恵[めぐ]まれる,受恩惠，富足,to be blessed with,動,私は、いつも友人に恵まれている。,我总是能交到很多朋友。,,,[sound:JLPT_TangoN2_Word_0032.mp3],[sound:JLPT_TangoN2_Sentence_0032.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
33,頼る,たよる,頼[たよ]る,依靠，依赖,to depend,動,私達は親友なのだから、困ったときは頼ってほしい。,我们是好朋友，需要帮忙的时候，我希望你能来找我。,"＋頼りにする to rely on / 作为依靠
＋頼りになる to be reliable / 可靠",,[sound:JLPT_TangoN2_Word_0033.mp3],[sound:JLPT_TangoN2_Sentence_0033.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
34,頼もしい,たのもしい,頼[たの]もしい,可靠的，有出息,dependable,イ形,彼女は何でも相談できる頼もしい存在だ。,她是一个可靠的人，什么事都能和她商量。,,,[sound:JLPT_TangoN2_Word_0034.mp3],[sound:JLPT_TangoN2_Sentence_0034.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
35,見習う,みならう,見[み]習[なら]う,学习，以……为榜样,to emulate,動,私には見習うべき友人が何人かいる。,我有好几个值得学习的朋友。,＋見習い apprentice / 见习，见习生,,[sound:JLPT_TangoN2_Word_0035.mp3],[sound:JLPT_TangoN2_Sentence_0035.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
36,打ち明ける,うちあける,打[うち]ち明[あ]ける,吐露，坦言,to confess,動,親友だけに秘密を打ち明けた。,我只对好朋友吐露了秘密。,,,[sound:JLPT_TangoN2_Word_0036.mp3],[sound:JLPT_TangoN2_Sentence_0036.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
37,励ます,はげます,励[はげ]ます,鼓励,to encourage,動,私が試験に落ちたとき、友達が励ましてくれた。,我考试不及格的时候，朋友鼓励了我。,,,[sound:JLPT_TangoN2_Word_0037.mp3],[sound:JLPT_TangoN2_Sentence_0037.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
38,あえて,あえて,あえて,硬是，敢于,"venture to, daringly",副,大切な友達だから、あえて厳しい忠告もする。,因为是很重要的朋友，所以我才敢说一些逆耳忠言。,,,[sound:JLPT_TangoN2_Word_0038.mp3],[sound:JLPT_TangoN2_Sentence_0038.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
39,なくさめる,なくさめる,なくさめる,安慰,to console,動,彼女にふられたとき、友達がなくさめてくれた。,我被女朋友甩了的时候，朋友安慰了我。,,,[sound:JLPT_TangoN2_Word_0039.mp3],[sound:JLPT_TangoN2_Sentence_0039.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
40,察する,さっする,察[さっ]する,揣测，体察,to infer,動,彼女の気持ちを察して、何も言わなかった。,我体谅她的心情，什么也没有说。,,,[sound:JLPT_TangoN2_Word_0040.mp3],[sound:JLPT_TangoN2_Sentence_0040.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
41,思いやり,おもいやり,思[おも]い遣[やり],体谅，体贴,thoughtfulness,名,周りの人への思いやりを大切にしたい。,我想好好珍惜这份对周围人的体谅之心。,＋思いやる to be thoughtful / 体谅，设身处地为他人着想,,[sound:JLPT_TangoN2_Word_0041.mp3],[sound:JLPT_TangoN2_Sentence_0041.mp3],1,2,人と人との関係,友達,万词对策::N2级 2500::Chapter 01 人と人との関係::Section 2 友達
