序号,日语单词,注音,Anki格式,中文翻译,英文翻译,词性,例句,例句翻译,关联,补充,Audio,Audio_Sentence,Chapter,Section,,,
29,仲良し,なかよし,仲[なか] 良[よ]し,好朋友,"close friend, intimate friend",名,クラスメートは、みんな仲良しだ。,全班同学都是好朋友。,,,[sound:JLPT_TangoN3_Word_0029.mp3],[sound:JLPT_TangoN3_Sentence_0029.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
30,幼なじみ,おさななじみ,幼[おさな] なじみ,发小，从小一起长大的朋友,childhood friend,名,いなかに帰ると、いつも幼なじみに会う。,每次回乡下，我总要见一见从小一起长大的朋友。,,,[sound:JLPT_TangoN3_Word_0030.mp3],[sound:JLPT_TangoN3_Sentence_0030.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
31,友情,ゆうじょう,友[ゆう] 情[じょう],友情,friendship,名,彼との友情をいつまでも大切にしたい。,我想永远珍惜我和他之间的友情。,,,[sound:JLPT_TangoN3_Word_0031.mp3],[sound:JLPT_TangoN3_Sentence_0031.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
32,親しい,したしい,親[した] しい,亲密的,"intimate, close",イ形,親しい友だちの結婚式に招待された。,我受邀参加了好朋友的婚礼。,,,[sound:JLPT_TangoN3_Word_0032.mp3],[sound:JLPT_TangoN3_Sentence_0032.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
33,知人,ちじん,知[ち] 人[じん],相识的人，熟人,acquaintance,名,知人の紹介で、彼と知り合った。,在熟人的介绍下，我认识了他。,＋知り合う to become aquainted with / 认识,,[sound:JLPT_TangoN3_Word_0033.mp3],[sound:JLPT_TangoN3_Sentence_0033.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
34,メンバー,メンバー,メンバー,成员,member,名,"A「明日のパーティーのメンバーは、だれですか。」
B「先生と私たちです。」","A：明天的聚会都有谁参加？
B：老师和我们。",,,[sound:JLPT_TangoN3_Word_0034.mp3],[sound:JLPT_TangoN3_Sentence_0034.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
35,繋ぐ*,つなぐ,つなぐ,接上,"to put together, to tie together, to connect",动,子どもたちは、手をつないで学校に行く。,孩子们手拉手去学校。,,,[sound:JLPT_TangoN3_Word_0035.mp3],[sound:JLPT_TangoN3_Sentence_0035.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
36,繋がる*,つながる,つながる,连接,"to be put together, to be connected",动,夜になっても、電話がつながらない。,到了晚上，电话还是打不通。,,,[sound:JLPT_TangoN3_Word_0036.mp3],[sound:JLPT_TangoN3_Sentence_0036.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
37,当時,とうじ,当[とう] 時[じ],当时,"at that time, then",名,彼女はクラスメートだったが、当時は、あまり話さなかった。,我和她是同班同学，但当时我们俩没怎么说过话。,,,[sound:JLPT_TangoN3_Word_0037.mp3],[sound:JLPT_TangoN3_Sentence_0037.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
38,祝う,いわう,祝[いわ]う,庆祝,to celebrate,动,友だちの婚約を祝うための会を開いた。,我们办了一个聚会，庆祝朋友订婚。,"＝おいわいする
＋[お]祝い celebration / 庆祝",,[sound:JLPT_TangoN3_Word_0038.mp3],[sound:JLPT_TangoN3_Sentence_0038.mp3],1,2,人と人との関係,友だちと知り合い,万词对策N3::Chapter 1 人と人との関係::Section 2 友だちと知り合い
